,predict_model0,predict_model1,predict_model2,predict_model3,predict_model4,predict_model5,predict_model6,predict_model7,predict_model8,predict_model9,predict_model10,predict_model11,predict_model12,predict_model13,predict_model14,predict_model15,predict_model16,predict_model17,predict_model18,predict_model19,predict_model20,predict_model21,predict_model22,predict_model23,predict_model24,predict_model25,predict_model26,predict_model27,predict_model28,predict_model29,predict_model30,predict_model31,predict_model32
Hawaii,0.913201729221,0.951180017639,0.645543980444,0.879879402896,0.835855884019,0.657310582627,0.885358844534,0.697820269417,0.926944497533,0.695397103142,0.848600785938,0.713155828696,0.834446415104,0.602687944624,0.949832871313,0.700263411358,0.834658094308,0.665365839044,0.777401573596,0.697579463568,0.877387485917,0.594602131597,0.790764835426,0.989046996772,0.763234265666,0.68942753451,0.852214625311,0.801326579544,0.895121212909,0.726243366754,0.546973710085,0.563065977002,0.536047479025
Idaho,0.16177305737,0.265351965043,0.390425496075,0.282835951655,0.197342343283,0.363514194578,0.218333079398,0.35462599067,0.213451608885,0.353012839665,0.282980898782,0.346480325734,0.292647679764,0.327180993029,0.109411817001,0.359882033145,0.247096921328,0.38060161306,0.360410069398,0.32760755504,0.173969272603,0.447187245916,0.476243478832,0.336721321403,0.557511349653,0.35903561844,0.18232814868,0.3158371384,0.145701687879,0.351967131523,0.491900602006,0.415884446999,0.510881378207
Illinois,0.947306991357,0.946109515066,0.788937425319,0.864195913239,0.91343419866,0.650299038202,0.916496419519,0.677394808055,0.92155116367,0.679613666264,0.849188340831,0.696454002972,0.83703596728,0.529932203638,0.885708738213,0.676535143015,0.865787354495,0.64499763973,0.841241507661,0.67253074796,0.943822470038,0.577289165969,0.790730228609,0.940331685778,0.606390119285,0.681085145028,0.921267943345,0.783486914359,0.954969313355,0.586962419328,0.513178643676,0.51174689587,0.508619406816
Indiana,0.567540499382,0.795391827112,0.632386805694,0.751445627853,0.615045097028,0.590829760833,0.631195465625,0.614205984597,0.632729635063,0.613853198828,0.620861355178,0.625707030617,0.616184878734,0.513465956804,0.52560777319,0.611220726776,0.619636266083,0.588875732623,0.631366171525,0.612232280974,0.615173652483,0.546179164037,0.55841183064,0.621018389395,0.502181427315,0.611060592196,0.626193416033,0.683700988448,0.639372103246,0.49356295994,0.490584557663,0.47777859654,0.497390609509
Iowa,0.528674890622,0.594530194959,0.655931629901,0.471166018555,0.549683185322,0.442907192656,0.560404993719,0.447025934241,0.569932737214,0.445892586805,0.545647216847,0.447609285838,0.546935939123,0.468332852822,0.592106691019,0.446246758224,0.544578237102,0.447418197781,0.564988377415,0.443230318994,0.568939847503,0.504755468582,0.675952783858,0.681451995318,0.592426269194,0.451801468935,0.546111860792,0.455093026803,0.583614651397,0.557185870943,0.529829764375,0.521627894893,0.528024744195
Kansas,0.327887027824,0.477947062152,0.599354132508,0.411090189408,0.399935425093,0.421742141391,0.415139613821,0.421617773774,0.402610071215,0.420261734376,0.434842165273,0.418804489755,0.439308336105,0.394028532488,0.268490185166,0.421798165607,0.419666218244,0.426697707527,0.462354647257,0.408744990644,0.392399990104,0.467536285075,0.453798228074,0.373546697645,0.503250557247,0.423928860183,0.398625877527,0.413934353784,0.385923456217,0.358845225523,0.482015101669,0.434924022937,0.497685556617
Kentucky,0.384603744579,0.290352468224,0.502638196755,0.316064927873,0.411235973202,0.386513055818,0.363775418871,0.377210194032,0.368308559521,0.376932801463,0.40875155768,0.371272958368,0.411784654716,0.436394879032,0.382707097018,0.374992771635,0.442834242505,0.385378826197,0.449370019057,0.3791219689,0.384924025659,0.399485552498,0.378737262473,0.243688260703,0.481184868823,0.374210003514,0.403022286782,0.344129421587,0.358752964794,0.263886237846,0.483373233783,0.369928542104,0.496417134515
Louisiana,0.27165832409,0.231036376757,0.462968465332,0.287197058303,0.326296369415,0.378807689397,0.255964810067,0.367028063368,0.246544704801,0.366454344193,0.313630042008,0.358742617107,0.31844026104,0.362484632242,0.128017339646,0.362904608592,0.3706948794,0.367200013286,0.305005235962,0.378123578892,0.277321475533,0.308035841709,0.0637476615216,0.018342700129,0.244519711152,0.355040658542,0.332318455084,0.320921366715,0.265627646874,0.258407756535,0.48144761177,0.334802578996,0.482587260074
Maine,0.863394573767,0.867001475441,0.735224728714,0.645447795976,0.782442463965,0.510106104463,0.702061368311,0.529619588647,0.756019839732,0.527542179523,0.633098807262,0.535095053539,0.618168446064,0.63909199468,0.93653881221,0.520423760641,0.744535034893,0.503090949478,0.654970224222,0.542469017887,0.833182539278,0.528033169245,0.747094915466,0.86365304802,0.597818643045,0.522067742258,0.790675549184,0.569933766994,0.88228310593,0.797339707052,0.59654175689,0.628634246326,0.566961303302
Maryland,0.970675834113,0.880665655836,0.66668701732,0.91756020954,0.953495950433,0.733012946475,0.959178059385,0.76983251949,0.978454334071,0.768525868131,0.949221741497,0.783201908231,0.938642258859,0.621705233177,0.955001433214,0.762228298897,0.961241113904,0.724402152454,0.932972782617,0.760495326901,0.96338589574,0.626926811393,0.961886102754,0.978435221818,0.719133039844,0.761645655324,0.954237954448,0.852821521529,0.969726358835,0.711975429688,0.563296569355,0.547019431922,0.536236644996
Massachusetts,0.981027425176,0.787465298726,0.674908446149,0.936586217376,0.977036790117,0.770150873894,0.987998085647,0.806274676737,0.994741248145,0.805242033002,0.986275455543,0.820303299692,0.982985483389,0.678536266165,0.988893710451,0.800676702913,0.984694076399,0.762472748575,0.970051463586,0.803437040305,0.979630442005,0.710920889824,0.996927302465,0.997346174155,0.864573962964,0.804159230308,0.975968535412,0.884670649638,0.981299257246,0.923081174423,0.66311623623,0.71635066391,0.599633674142
Michigan,0.572904650622,0.799935638188,0.635749340309,0.750160105792,0.616802495481,0.590645230571,0.612212034342,0.610667792548,0.587517837581,0.613020541064,0.602907361071,0.626608908514,0.604160511118,0.571738820949,0.656313464315,0.607754322953,0.589933677457,0.584556823258,0.599620003131,0.618038675018,0.614058967227,0.528120935953,0.46384731095,0.617259201303,0.499101346125,0.610471797062,0.625749438732,0.686153791454,0.624154905452,0.526576055171,0.502863104071,0.486971397705,0.502115423305
Minnesota,0.70196423948,0.693170850069,0.704270981167,0.522816235828,0.675198497621,0.458458798801,0.70071185491,0.463575110825,0.708879435528,0.463735250143,0.645664937865,0.466545976782,0.637188378656,0.454308432938,0.700735228005,0.465287801407,0.633077997004,0.463459108226,0.640076987632,0.453969363429,0.723571406268,0.511901680086,0.732413063515,0.779476042798,0.607569810619,0.470965552452,0.679387880296,0.492608316036,0.731705284142,0.553988113913,0.528846416378,0.520711395187,0.526481486469
Mississippi,0.18429989999,0.195319664842,0.435803063665,0.24692346266,0.244704730463,0.362246706493,0.145649205896,0.348940529715,0.135991098997,0.347509219426,0.203283056447,0.338278299519,0.211578821941,0.357851659356,0.0625812752426,0.340201165369,0.296669263115,0.348464069256,0.255899883525,0.352678124805,0.195668119908,0.271680102547,0.0239683959148,0.00508423742253,0.172707538101,0.334850383884,0.241829653282,0.293772258498,0.165275352285,0.145191153261,0.433671898132,0.257580548842,0.450488246099
Missouri,0.376018107765,0.480093487969,0.60041677142,0.449148406393,0.452012085776,0.447917850661,0.399648214224,0.447656431537,0.374258504284,0.447971675748,0.423263834185,0.448925230009,0.432286526728,0.462954786013,0.349589280076,0.442870981264,0.455151757629,0.442078378399,0.465909806216,0.45025919325,0.430632782689,0.445310963559,0.352775924264,0.303439115388,0.464874467809,0.445526873362,0.452991717291,0.445770077298,0.43036104121,0.415958840787,0.499133255809,0.44550308948,0.502039689974
Montana,0.415403597672,0.455055126787,0.49646674315,0.346762895431,0.37523880357,0.38027133415,0.411905731486,0.376788158156,0.440685240877,0.375311030569,0.434537002974,0.37177571495,0.435968824231,0.491124573917,0.695711086826,0.382392319204,0.398834491494,0.388241450997,0.368472504591,0.394481489768,0.366747346346,0.469839881635,0.642864066668,0.649942873708,0.622585494014,0.383459101545,0.357890674272,0.35902891759,0.367470437081,0.544515848718,0.568226082957,0.530552729946,0.558007793172
