,cand_nm,census_region,contb_receipt_dt_format,contb_receipt_amt
202,"Obama, Barack",Midwest,2012-05-24 00:00:00,-35.0
203,"Obama, Barack",Midwest,2012-05-25 00:00:00,-5452.0
204,"Obama, Barack",Midwest,2012-05-28 00:00:00,-1390.0
205,"Obama, Barack",Midwest,2012-05-29 00:00:00,-526.0
206,"Obama, Barack",Midwest,2012-05-30 00:00:00,-105.0
207,"Obama, Barack",Midwest,2012-05-31 00:00:00,-12450.0
208,"Obama, Barack",Midwest,2012-06-01 00:00:00,-1210.0
209,"Obama, Barack",Midwest,2012-06-02 00:00:00,-112.0
210,"Obama, Barack",Midwest,2012-06-04 00:00:00,-1000.0
211,"Obama, Barack",Midwest,2012-06-05 00:00:00,-12743.0
212,"Obama, Barack",Midwest,2012-06-06 00:00:00,-345.0
213,"Obama, Barack",Midwest,2012-06-07 00:00:00,-300.0
214,"Obama, Barack",Midwest,2012-06-08 00:00:00,-720.0
215,"Obama, Barack",Midwest,2012-06-11 00:00:00,-525.0
216,"Obama, Barack",Midwest,2012-06-12 00:00:00,-140.0
217,"Obama, Barack",Midwest,2012-06-13 00:00:00,-3865.0
218,"Obama, Barack",Midwest,2012-06-14 00:00:00,-6490.0
219,"Obama, Barack",Midwest,2012-06-15 00:00:00,-675.0
220,"Obama, Barack",Midwest,2012-06-16 00:00:00,-1000.0
221,"Obama, Barack",Midwest,2012-06-18 00:00:00,-4995.0
222,"Obama, Barack",Midwest,2012-06-19 00:00:00,-656.0
223,"Obama, Barack",Midwest,2012-06-20 00:00:00,-4735.0
224,"Obama, Barack",Midwest,2012-06-21 00:00:00,-2891.0
225,"Obama, Barack",Midwest,2012-06-22 00:00:00,-2656.0
226,"Obama, Barack",Midwest,2012-06-23 00:00:00,-6330.0
227,"Obama, Barack",Midwest,2012-06-25 00:00:00,-4740.0
228,"Obama, Barack",Midwest,2012-06-26 00:00:00,-2196.0
229,"Obama, Barack",Midwest,2012-06-27 00:00:00,-288.0
230,"Obama, Barack",Midwest,2012-06-28 00:00:00,-227.0
