,cand_nm,contb_receipt_dt_format,contb_receipt_amt
150,"Obama, Barack",2011-09-01 00:00:00,397551.62
151,"Obama, Barack",2011-09-02 00:00:00,155896.41
152,"Obama, Barack",2011-09-03 00:00:00,46573.0
153,"Obama, Barack",2011-09-04 00:00:00,44191.0
154,"Obama, Barack",2011-09-05 00:00:00,57468.0
155,"Obama, Barack",2011-09-06 00:00:00,197136.37999999998
156,"Obama, Barack",2011-09-07 00:00:00,355782.17
157,"Obama, Barack",2011-09-08 00:00:00,439495.32
158,"Obama, Barack",2011-09-09 00:00:00,351583.62
159,"Obama, Barack",2011-09-10 00:00:00,140432.41
160,"Obama, Barack",2011-09-11 00:00:00,113883.0
161,"Obama, Barack",2011-09-12 00:00:00,412486.12
162,"Obama, Barack",2011-09-13 00:00:00,529478.03
163,"Obama, Barack",2011-09-14 00:00:00,605498.9500000001
164,"Obama, Barack",2011-09-15 00:00:00,402549.94
165,"Obama, Barack",2011-09-16 00:00:00,598172.0700000001
166,"Obama, Barack",2011-09-17 00:00:00,178459.02999999997
167,"Obama, Barack",2011-09-18 00:00:00,145812.62
168,"Obama, Barack",2011-09-19 00:00:00,570181.4
169,"Obama, Barack",2011-09-20 00:00:00,537051.03
170,"Obama, Barack",2011-09-21 00:00:00,504718.49
171,"Obama, Barack",2011-09-22 00:00:00,417310.1
172,"Obama, Barack",2011-09-23 00:00:00,447702.37
173,"Obama, Barack",2011-09-24 00:00:00,140060.0
174,"Obama, Barack",2011-09-25 00:00:00,109796.0
175,"Obama, Barack",2011-09-26 00:00:00,697841.4
176,"Obama, Barack",2011-09-27 00:00:00,1276581.4499999997
177,"Obama, Barack",2011-09-28 00:00:00,952828.4700000002
178,"Obama, Barack",2011-09-29 00:00:00,850009.76
179,"Obama, Barack",2011-09-30 00:00:00,3372687.2399999998
180,"Obama, Barack",2011-10-01 00:00:00,149687.0
181,"Obama, Barack",2011-10-02 00:00:00,60605.62
182,"Obama, Barack",2011-10-03 00:00:00,366574.62
183,"Obama, Barack",2011-10-04 00:00:00,146263.5
184,"Obama, Barack",2011-10-05 00:00:00,252809.55
185,"Obama, Barack",2011-10-06 00:00:00,228129.5
186,"Obama, Barack",2011-10-07 00:00:00,166343.79
187,"Obama, Barack",2011-10-08 00:00:00,52385.0
188,"Obama, Barack",2011-10-09 00:00:00,59981.0
189,"Obama, Barack",2011-10-10 00:00:00,102306.41
190,"Obama, Barack",2011-10-11 00:00:00,131829.02
191,"Obama, Barack",2011-10-12 00:00:00,114291.57
192,"Obama, Barack",2011-10-13 00:00:00,268108.95999999996
193,"Obama, Barack",2011-10-14 00:00:00,459015.74
194,"Obama, Barack",2011-10-15 00:00:00,70652.0
195,"Obama, Barack",2011-10-16 00:00:00,74571.98999999999
196,"Obama, Barack",2011-10-17 00:00:00,453339.01999999996
197,"Obama, Barack",2011-10-18 00:00:00,354697.52
198,"Obama, Barack",2011-10-19 00:00:00,214270.49
199,"Obama, Barack",2011-10-20 00:00:00,299987.9
200,"Obama, Barack",2011-10-21 00:00:00,354275.61
201,"Obama, Barack",2011-10-22 00:00:00,55353.0
202,"Obama, Barack",2011-10-23 00:00:00,69361.0
203,"Obama, Barack",2011-10-24 00:00:00,215891.12
204,"Obama, Barack",2011-10-25 00:00:00,157859.47
205,"Obama, Barack",2011-10-26 00:00:00,181600.90000000002
206,"Obama, Barack",2011-10-27 00:00:00,281973.63
207,"Obama, Barack",2011-10-28 00:00:00,250252.49
208,"Obama, Barack",2011-10-29 00:00:00,65850.5
209,"Obama, Barack",2011-10-30 00:00:00,45676.75
210,"Obama, Barack",2011-10-31 00:00:00,216721.87
211,"Obama, Barack",2011-11-01 00:00:00,129294.87
212,"Obama, Barack",2011-11-02 00:00:00,157368.81
213,"Obama, Barack",2011-11-03 00:00:00,122544.56
214,"Obama, Barack",2011-11-04 00:00:00,140758.27999999997
215,"Obama, Barack",2011-11-05 00:00:00,32544.25
216,"Obama, Barack",2011-11-06 00:00:00,54774.01
217,"Obama, Barack",2011-11-07 00:00:00,196566.99
218,"Obama, Barack",2011-11-08 00:00:00,229503.45000000004
219,"Obama, Barack",2011-11-09 00:00:00,184623.07
220,"Obama, Barack",2011-11-10 00:00:00,186981.91000000003
221,"Obama, Barack",2011-11-11 00:00:00,38796.1
222,"Obama, Barack",2011-11-12 00:00:00,25911.71
223,"Obama, Barack",2011-11-13 00:00:00,33558.36
224,"Obama, Barack",2011-11-14 00:00:00,155230.05
225,"Obama, Barack",2011-11-15 00:00:00,148364.8
226,"Obama, Barack",2011-11-16 00:00:00,158678.44
227,"Obama, Barack",2011-11-17 00:00:00,145788.22000000003
228,"Obama, Barack",2011-11-18 00:00:00,238725.91999999998
229,"Obama, Barack",2011-11-19 00:00:00,138121.27000000002
230,"Obama, Barack",2011-11-20 00:00:00,84667.15
231,"Obama, Barack",2011-11-21 00:00:00,297762.74
232,"Obama, Barack",2011-11-22 00:00:00,453299.23000000004
233,"Obama, Barack",2011-11-23 00:00:00,308081.56000000006
234,"Obama, Barack",2011-11-24 00:00:00,29654.2
235,"Obama, Barack",2011-11-25 00:00:00,86939.09999999999
236,"Obama, Barack",2011-11-26 00:00:00,45441.350000000006
237,"Obama, Barack",2011-11-27 00:00:00,72980.75
238,"Obama, Barack",2011-11-28 00:00:00,517511.43000000005
239,"Obama, Barack",2011-11-29 00:00:00,216316.71
240,"Obama, Barack",2011-11-30 00:00:00,516966.52
241,"Obama, Barack",2011-12-01 00:00:00,649382.82
242,"Obama, Barack",2011-12-02 00:00:00,224767.96
243,"Obama, Barack",2011-12-03 00:00:00,82349.01999999999
244,"Obama, Barack",2011-12-04 00:00:00,72735.1
245,"Obama, Barack",2011-12-05 00:00:00,264119.69999999995
246,"Obama, Barack",2011-12-06 00:00:00,241983.30000000002
247,"Obama, Barack",2011-12-07 00:00:00,335456.7699999999
248,"Obama, Barack",2011-12-08 00:00:00,229514.74000000005
249,"Obama, Barack",2011-12-09 00:00:00,295218.3
250,"Obama, Barack",2011-12-10 00:00:00,97632.56
251,"Obama, Barack",2011-12-11 00:00:00,83006.66
252,"Obama, Barack",2011-12-12 00:00:00,458370.84
253,"Obama, Barack",2011-12-13 00:00:00,262069.35
254,"Obama, Barack",2011-12-14 00:00:00,298393.65
255,"Obama, Barack",2011-12-15 00:00:00,303592.55000000005
256,"Obama, Barack",2011-12-16 00:00:00,332329.41000000003
