,cand_nm,census_region,contb_receipt_dt_format,contb_receipt_amt
188,"Obama, Barack",Midwest,2011-10-09 00:00:00,4005.0
189,"Obama, Barack",Midwest,2011-10-10 00:00:00,4970.0
190,"Obama, Barack",Midwest,2011-10-11 00:00:00,33025.9
191,"Obama, Barack",Midwest,2011-10-12 00:00:00,20817.0
192,"Obama, Barack",Midwest,2011-10-13 00:00:00,29270.84
193,"Obama, Barack",Midwest,2011-10-14 00:00:00,62990.5
194,"Obama, Barack",Midwest,2011-10-15 00:00:00,8416.0
195,"Obama, Barack",Midwest,2011-10-16 00:00:00,8246.0
196,"Obama, Barack",Midwest,2011-10-17 00:00:00,68713.98999999999
197,"Obama, Barack",Midwest,2011-10-18 00:00:00,49999.65
198,"Obama, Barack",Midwest,2011-10-19 00:00:00,30811.25
199,"Obama, Barack",Midwest,2011-10-20 00:00:00,28995.4
200,"Obama, Barack",Midwest,2011-10-21 00:00:00,45038.0
201,"Obama, Barack",Midwest,2011-10-22 00:00:00,13011.0
202,"Obama, Barack",Midwest,2011-10-23 00:00:00,12141.0
203,"Obama, Barack",Midwest,2011-10-24 00:00:00,48760.0
204,"Obama, Barack",Midwest,2011-10-25 00:00:00,29325.25
205,"Obama, Barack",Midwest,2011-10-26 00:00:00,47302.26
206,"Obama, Barack",Midwest,2011-10-27 00:00:00,68188.75
207,"Obama, Barack",Midwest,2011-10-28 00:00:00,32590.5
208,"Obama, Barack",Midwest,2011-10-29 00:00:00,11309.0
209,"Obama, Barack",Midwest,2011-10-30 00:00:00,4604.0
210,"Obama, Barack",Midwest,2011-10-31 00:00:00,34888.75
211,"Obama, Barack",Midwest,2011-11-01 00:00:00,12604.0
212,"Obama, Barack",Midwest,2011-11-02 00:00:00,8917.65
213,"Obama, Barack",Midwest,2011-11-03 00:00:00,12885.0
214,"Obama, Barack",Midwest,2011-11-04 00:00:00,21469.42
215,"Obama, Barack",Midwest,2011-11-05 00:00:00,4840.25
216,"Obama, Barack",Midwest,2011-11-06 00:00:00,3253.51
217,"Obama, Barack",Midwest,2011-11-07 00:00:00,23007.8
218,"Obama, Barack",Midwest,2011-11-08 00:00:00,57258.95
219,"Obama, Barack",Midwest,2011-11-09 00:00:00,32274.350000000002
220,"Obama, Barack",Midwest,2011-11-10 00:00:00,31623.0
221,"Obama, Barack",Midwest,2011-11-11 00:00:00,4108.5
222,"Obama, Barack",Midwest,2011-11-12 00:00:00,1760.6999999999998
223,"Obama, Barack",Midwest,2011-11-13 00:00:00,4200.89
224,"Obama, Barack",Midwest,2011-11-14 00:00:00,19626.5
225,"Obama, Barack",Midwest,2011-11-15 00:00:00,18460.25
226,"Obama, Barack",Midwest,2011-11-16 00:00:00,27881.12
227,"Obama, Barack",Midwest,2011-11-17 00:00:00,13111.86
228,"Obama, Barack",Midwest,2011-11-18 00:00:00,41211.03
229,"Obama, Barack",Midwest,2011-11-19 00:00:00,14625.75
230,"Obama, Barack",Midwest,2011-11-20 00:00:00,15584.52
231,"Obama, Barack",Midwest,2011-11-21 00:00:00,43034.5
232,"Obama, Barack",Midwest,2011-11-22 00:00:00,83905.93
233,"Obama, Barack",Midwest,2011-11-23 00:00:00,34889.3
234,"Obama, Barack",Midwest,2011-11-24 00:00:00,3615.0
235,"Obama, Barack",Midwest,2011-11-25 00:00:00,16533.6
236,"Obama, Barack",Midwest,2011-11-26 00:00:00,4796.7
237,"Obama, Barack",Midwest,2011-11-27 00:00:00,11304.5
238,"Obama, Barack",Midwest,2011-11-28 00:00:00,62185.59999999999
239,"Obama, Barack",Midwest,2011-11-29 00:00:00,31179.670000000002
240,"Obama, Barack",Midwest,2011-11-30 00:00:00,73453.01999999999
241,"Obama, Barack",Midwest,2011-12-01 00:00:00,91589.5
242,"Obama, Barack",Midwest,2011-12-02 00:00:00,49356.5
243,"Obama, Barack",Midwest,2011-12-03 00:00:00,19749.300000000003
244,"Obama, Barack",Midwest,2011-12-04 00:00:00,14734.300000000001
245,"Obama, Barack",Midwest,2011-12-05 00:00:00,41274.7
246,"Obama, Barack",Midwest,2011-12-06 00:00:00,47338.35
247,"Obama, Barack",Midwest,2011-12-07 00:00:00,38901.75
248,"Obama, Barack",Midwest,2011-12-08 00:00:00,39791.719999999994
249,"Obama, Barack",Midwest,2011-12-09 00:00:00,45379.6
250,"Obama, Barack",Midwest,2011-12-10 00:00:00,13559.5
251,"Obama, Barack",Midwest,2011-12-11 00:00:00,18672.75
252,"Obama, Barack",Midwest,2011-12-12 00:00:00,41898.6
253,"Obama, Barack",Midwest,2011-12-13 00:00:00,57332.34
254,"Obama, Barack",Midwest,2011-12-14 00:00:00,52235.0
