,cand_nm,economic_region,contb_receipt_dt_format,contb_receipt_amt
151,"Obama, Barack",Far West,2011-09-02 00:00:00,67184.0
152,"Obama, Barack",Far West,2011-09-03 00:00:00,13447.0
153,"Obama, Barack",Far West,2011-09-04 00:00:00,13603.0
154,"Obama, Barack",Far West,2011-09-05 00:00:00,12235.0
155,"Obama, Barack",Far West,2011-09-06 00:00:00,58381.11
156,"Obama, Barack",Far West,2011-09-07 00:00:00,104356.0
157,"Obama, Barack",Far West,2011-09-08 00:00:00,152443.0
158,"Obama, Barack",Far West,2011-09-09 00:00:00,129567.0
159,"Obama, Barack",Far West,2011-09-10 00:00:00,84581.0
160,"Obama, Barack",Far West,2011-09-11 00:00:00,34134.0
161,"Obama, Barack",Far West,2011-09-12 00:00:00,160388.0
162,"Obama, Barack",Far West,2011-09-13 00:00:00,242733.19
163,"Obama, Barack",Far West,2011-09-14 00:00:00,170009.0
164,"Obama, Barack",Far West,2011-09-15 00:00:00,132238.21999999997
165,"Obama, Barack",Far West,2011-09-16 00:00:00,134697.0
166,"Obama, Barack",Far West,2011-09-17 00:00:00,84523.01000000001
167,"Obama, Barack",Far West,2011-09-18 00:00:00,63523.5
168,"Obama, Barack",Far West,2011-09-19 00:00:00,240760.0
169,"Obama, Barack",Far West,2011-09-20 00:00:00,242466.0
170,"Obama, Barack",Far West,2011-09-21 00:00:00,219017.0
171,"Obama, Barack",Far West,2011-09-22 00:00:00,179404.1
172,"Obama, Barack",Far West,2011-09-23 00:00:00,172466.75
173,"Obama, Barack",Far West,2011-09-24 00:00:00,38386.0
174,"Obama, Barack",Far West,2011-09-25 00:00:00,33090.0
175,"Obama, Barack",Far West,2011-09-26 00:00:00,199074.0
176,"Obama, Barack",Far West,2011-09-27 00:00:00,448095.0
177,"Obama, Barack",Far West,2011-09-28 00:00:00,169478.51
178,"Obama, Barack",Far West,2011-09-29 00:00:00,186682.12
179,"Obama, Barack",Far West,2011-09-30 00:00:00,482296.24
180,"Obama, Barack",Far West,2011-10-01 00:00:00,44015.0
181,"Obama, Barack",Far West,2011-10-02 00:00:00,6635.5
182,"Obama, Barack",Far West,2011-10-03 00:00:00,19949.0
183,"Obama, Barack",Far West,2011-10-04 00:00:00,44094.0
184,"Obama, Barack",Far West,2011-10-05 00:00:00,31530.0
185,"Obama, Barack",Far West,2011-10-06 00:00:00,23969.0
186,"Obama, Barack",Far West,2011-10-07 00:00:00,28998.870000000003
187,"Obama, Barack",Far West,2011-10-08 00:00:00,6710.0
188,"Obama, Barack",Far West,2011-10-09 00:00:00,3825.0
189,"Obama, Barack",Far West,2011-10-10 00:00:00,15032.0
190,"Obama, Barack",Far West,2011-10-11 00:00:00,33386.0
191,"Obama, Barack",Far West,2011-10-12 00:00:00,13977.0
192,"Obama, Barack",Far West,2011-10-13 00:00:00,86449.12
193,"Obama, Barack",Far West,2011-10-14 00:00:00,146029.62
194,"Obama, Barack",Far West,2011-10-15 00:00:00,26521.0
195,"Obama, Barack",Far West,2011-10-16 00:00:00,20561.0
196,"Obama, Barack",Far West,2011-10-17 00:00:00,142090.49
197,"Obama, Barack",Far West,2011-10-18 00:00:00,116104.62
198,"Obama, Barack",Far West,2011-10-19 00:00:00,78272.0
199,"Obama, Barack",Far West,2011-10-20 00:00:00,118765.0
200,"Obama, Barack",Far West,2011-10-21 00:00:00,158170.12
201,"Obama, Barack",Far West,2011-10-22 00:00:00,24847.0
202,"Obama, Barack",Far West,2011-10-23 00:00:00,24960.0
203,"Obama, Barack",Far West,2011-10-24 00:00:00,42014.0
204,"Obama, Barack",Far West,2011-10-25 00:00:00,19157.1
205,"Obama, Barack",Far West,2011-10-26 00:00:00,27417.0
206,"Obama, Barack",Far West,2011-10-27 00:00:00,66853.0
207,"Obama, Barack",Far West,2011-10-28 00:00:00,100118.5
208,"Obama, Barack",Far West,2011-10-29 00:00:00,13611.0
209,"Obama, Barack",Far West,2011-10-30 00:00:00,5022.75
210,"Obama, Barack",Far West,2011-10-31 00:00:00,43780.0
211,"Obama, Barack",Far West,2011-11-01 00:00:00,38096.0
212,"Obama, Barack",Far West,2011-11-02 00:00:00,32022.100000000002
213,"Obama, Barack",Far West,2011-11-03 00:00:00,41567.0
214,"Obama, Barack",Far West,2011-11-04 00:00:00,41195.12
215,"Obama, Barack",Far West,2011-11-05 00:00:00,7811.0
216,"Obama, Barack",Far West,2011-11-06 00:00:00,27104.5
217,"Obama, Barack",Far West,2011-11-07 00:00:00,57265.0
218,"Obama, Barack",Far West,2011-11-08 00:00:00,50063.3
219,"Obama, Barack",Far West,2011-11-09 00:00:00,84177.54
220,"Obama, Barack",Far West,2011-11-10 00:00:00,74109.4
221,"Obama, Barack",Far West,2011-11-11 00:00:00,21678.0
222,"Obama, Barack",Far West,2011-11-12 00:00:00,2358.25
223,"Obama, Barack",Far West,2011-11-13 00:00:00,12279.72
224,"Obama, Barack",Far West,2011-11-14 00:00:00,37789.5
225,"Obama, Barack",Far West,2011-11-15 00:00:00,30874.65
226,"Obama, Barack",Far West,2011-11-16 00:00:00,22705.25
227,"Obama, Barack",Far West,2011-11-17 00:00:00,23630.4
228,"Obama, Barack",Far West,2011-11-18 00:00:00,40263.58
229,"Obama, Barack",Far West,2011-11-19 00:00:00,26489.8
230,"Obama, Barack",Far West,2011-11-20 00:00:00,16036.480000000001
231,"Obama, Barack",Far West,2011-11-21 00:00:00,63860.69
232,"Obama, Barack",Far West,2011-11-22 00:00:00,130515.0
233,"Obama, Barack",Far West,2011-11-23 00:00:00,71933.73999999999
234,"Obama, Barack",Far West,2011-11-24 00:00:00,8664.85
235,"Obama, Barack",Far West,2011-11-25 00:00:00,26496.05
236,"Obama, Barack",Far West,2011-11-26 00:00:00,9802.05
237,"Obama, Barack",Far West,2011-11-27 00:00:00,14274.65
238,"Obama, Barack",Far West,2011-11-28 00:00:00,105509.75
239,"Obama, Barack",Far West,2011-11-29 00:00:00,46391.07
240,"Obama, Barack",Far West,2011-11-30 00:00:00,113980.0
241,"Obama, Barack",Far West,2011-12-01 00:00:00,123348.0
242,"Obama, Barack",Far West,2011-12-02 00:00:00,36288.5
243,"Obama, Barack",Far West,2011-12-03 00:00:00,12525.12
244,"Obama, Barack",Far West,2011-12-04 00:00:00,17121.0
245,"Obama, Barack",Far West,2011-12-05 00:00:00,67350.5
246,"Obama, Barack",Far West,2011-12-06 00:00:00,51174.5
247,"Obama, Barack",Far West,2011-12-07 00:00:00,58866.05
248,"Obama, Barack",Far West,2011-12-08 00:00:00,53200.8
249,"Obama, Barack",Far West,2011-12-09 00:00:00,58291.0
250,"Obama, Barack",Far West,2011-12-10 00:00:00,16795.25
251,"Obama, Barack",Far West,2011-12-11 00:00:00,13964.11
252,"Obama, Barack",Far West,2011-12-12 00:00:00,99789.5
253,"Obama, Barack",Far West,2011-12-13 00:00:00,46900.090000000004
254,"Obama, Barack",Far West,2011-12-14 00:00:00,67246.4
255,"Obama, Barack",Far West,2011-12-15 00:00:00,61338.44
256,"Obama, Barack",Far West,2011-12-16 00:00:00,77273.5
257,"Obama, Barack",Far West,2011-12-17 00:00:00,8038.8
258,"Obama, Barack",Far West,2011-12-18 00:00:00,17624.6
259,"Obama, Barack",Far West,2011-12-19 00:00:00,74890.0
260,"Obama, Barack",Far West,2011-12-20 00:00:00,86011.5
261,"Obama, Barack",Far West,2011-12-21 00:00:00,83781.81
262,"Obama, Barack",Far West,2011-12-22 00:00:00,90708.23999999999
263,"Obama, Barack",Far West,2011-12-23 00:00:00,65928.99
264,"Obama, Barack",Far West,2011-12-24 00:00:00,9930.0
265,"Obama, Barack",Far West,2011-12-25 00:00:00,6436.0
266,"Obama, Barack",Far West,2011-12-26 00:00:00,26936.36
267,"Obama, Barack",Far West,2011-12-27 00:00:00,93830.16
268,"Obama, Barack",Far West,2011-12-28 00:00:00,119125.84
269,"Obama, Barack",Far West,2011-12-29 00:00:00,128803.7
270,"Obama, Barack",Far West,2011-12-30 00:00:00,354152.78
271,"Obama, Barack",Far West,2011-12-31 00:00:00,367454.9
272,"Obama, Barack",Far West,2012-01-01 00:00:00,13479.859999999999
273,"Obama, Barack",Far West,2012-01-02 00:00:00,16300.0
274,"Obama, Barack",Far West,2012-01-03 00:00:00,11833.5
