,cand_nm,contb_receipt_dt_format,contb_receipt_amt
80,"Obama, Barack",2011-06-23 00:00:00,321190.13
81,"Obama, Barack",2011-06-24 00:00:00,197142.0
82,"Obama, Barack",2011-06-25 00:00:00,97538.0
83,"Obama, Barack",2011-06-26 00:00:00,114423.0
84,"Obama, Barack",2011-06-27 00:00:00,341858.93
85,"Obama, Barack",2011-06-28 00:00:00,308661.55999999994
86,"Obama, Barack",2011-06-29 00:00:00,560073.4099999999
87,"Obama, Barack",2011-06-30 00:00:00,2069491.1800000002
88,"Obama, Barack",2011-07-01 00:00:00,165861.0
89,"Obama, Barack",2011-07-02 00:00:00,17105.0
90,"Obama, Barack",2011-07-03 00:00:00,5982.0
91,"Obama, Barack",2011-07-04 00:00:00,15538.0
92,"Obama, Barack",2011-07-05 00:00:00,89332.0
93,"Obama, Barack",2011-07-06 00:00:00,91920.73
94,"Obama, Barack",2011-07-07 00:00:00,86826.0
95,"Obama, Barack",2011-07-08 00:00:00,48138.0
96,"Obama, Barack",2011-07-09 00:00:00,7012.0
97,"Obama, Barack",2011-07-10 00:00:00,18306.0
98,"Obama, Barack",2011-07-11 00:00:00,133109.53999999998
99,"Obama, Barack",2011-07-12 00:00:00,131965.56
100,"Obama, Barack",2011-07-13 00:00:00,157857.88
101,"Obama, Barack",2011-07-14 00:00:00,150823.27
102,"Obama, Barack",2011-07-15 00:00:00,139179.85
103,"Obama, Barack",2011-07-16 00:00:00,31928.0
104,"Obama, Barack",2011-07-17 00:00:00,28380.0
105,"Obama, Barack",2011-07-18 00:00:00,116658.46
106,"Obama, Barack",2011-07-19 00:00:00,101425.12
107,"Obama, Barack",2011-07-20 00:00:00,193815.12
108,"Obama, Barack",2011-07-21 00:00:00,201601.11
109,"Obama, Barack",2011-07-22 00:00:00,215835.09
110,"Obama, Barack",2011-07-23 00:00:00,55758.0
111,"Obama, Barack",2011-07-24 00:00:00,21767.0
112,"Obama, Barack",2011-07-25 00:00:00,231673.15
113,"Obama, Barack",2011-07-26 00:00:00,217054.44
114,"Obama, Barack",2011-07-27 00:00:00,190064.28999999995
115,"Obama, Barack",2011-07-28 00:00:00,251637.56
116,"Obama, Barack",2011-07-29 00:00:00,169490.12
117,"Obama, Barack",2011-07-30 00:00:00,22729.0
118,"Obama, Barack",2011-07-31 00:00:00,20305.0
119,"Obama, Barack",2011-08-01 00:00:00,171281.0
120,"Obama, Barack",2011-08-02 00:00:00,163299.11
121,"Obama, Barack",2011-08-03 00:00:00,145428.02
122,"Obama, Barack",2011-08-04 00:00:00,592787.23
123,"Obama, Barack",2011-08-05 00:00:00,188130.12
124,"Obama, Barack",2011-08-06 00:00:00,18190.2
125,"Obama, Barack",2011-08-07 00:00:00,14510.3
126,"Obama, Barack",2011-08-08 00:00:00,199800.88
127,"Obama, Barack",2011-08-09 00:00:00,158120.0
128,"Obama, Barack",2011-08-10 00:00:00,147603.85
129,"Obama, Barack",2011-08-11 00:00:00,107139.12
130,"Obama, Barack",2011-08-12 00:00:00,142564.71000000002
131,"Obama, Barack",2011-08-13 00:00:00,13448.84
132,"Obama, Barack",2011-08-14 00:00:00,33246.0
133,"Obama, Barack",2011-08-15 00:00:00,180917.83000000002
134,"Obama, Barack",2011-08-16 00:00:00,155307.12
135,"Obama, Barack",2011-08-17 00:00:00,155581.44
136,"Obama, Barack",2011-08-18 00:00:00,111044.44
137,"Obama, Barack",2011-08-19 00:00:00,94467.0
138,"Obama, Barack",2011-08-20 00:00:00,13476.0
139,"Obama, Barack",2011-08-21 00:00:00,27489.4
140,"Obama, Barack",2011-08-22 00:00:00,142132.34
141,"Obama, Barack",2011-08-23 00:00:00,142889.24999999997
142,"Obama, Barack",2011-08-24 00:00:00,158346.11999999997
143,"Obama, Barack",2011-08-25 00:00:00,216217.37
144,"Obama, Barack",2011-08-26 00:00:00,240003.39
145,"Obama, Barack",2011-08-27 00:00:00,24266.0
146,"Obama, Barack",2011-08-28 00:00:00,45826.0
147,"Obama, Barack",2011-08-29 00:00:00,217294.5
148,"Obama, Barack",2011-08-30 00:00:00,86189.65000000001
149,"Obama, Barack",2011-08-31 00:00:00,363805.44
150,"Obama, Barack",2011-09-01 00:00:00,397181.62
151,"Obama, Barack",2011-09-02 00:00:00,135626.40999999997
152,"Obama, Barack",2011-09-03 00:00:00,45548.0
153,"Obama, Barack",2011-09-04 00:00:00,44191.0
154,"Obama, Barack",2011-09-05 00:00:00,57468.0
155,"Obama, Barack",2011-09-06 00:00:00,195971.37999999998
156,"Obama, Barack",2011-09-07 00:00:00,353707.17
157,"Obama, Barack",2011-09-08 00:00:00,438845.32
158,"Obama, Barack",2011-09-09 00:00:00,351583.62
159,"Obama, Barack",2011-09-10 00:00:00,139732.41
160,"Obama, Barack",2011-09-11 00:00:00,113883.0
161,"Obama, Barack",2011-09-12 00:00:00,409986.12
162,"Obama, Barack",2011-09-13 00:00:00,528403.03
163,"Obama, Barack",2011-09-14 00:00:00,605423.9500000001
164,"Obama, Barack",2011-09-15 00:00:00,402064.94
165,"Obama, Barack",2011-09-16 00:00:00,595732.0700000001
166,"Obama, Barack",2011-09-17 00:00:00,176259.02999999997
167,"Obama, Barack",2011-09-18 00:00:00,143150.12
168,"Obama, Barack",2011-09-19 00:00:00,568731.4
169,"Obama, Barack",2011-09-20 00:00:00,531671.03
170,"Obama, Barack",2011-09-21 00:00:00,474954.49
171,"Obama, Barack",2011-09-22 00:00:00,406868.1
172,"Obama, Barack",2011-09-23 00:00:00,444657.37
173,"Obama, Barack",2011-09-24 00:00:00,140060.0
174,"Obama, Barack",2011-09-25 00:00:00,109671.0
175,"Obama, Barack",2011-09-26 00:00:00,697661.4
176,"Obama, Barack",2011-09-27 00:00:00,1268851.4499999997
177,"Obama, Barack",2011-09-28 00:00:00,951208.4700000002
178,"Obama, Barack",2011-09-29 00:00:00,845479.76
179,"Obama, Barack",2011-09-30 00:00:00,3336617.2399999998
180,"Obama, Barack",2011-10-01 00:00:00,148672.0
181,"Obama, Barack",2011-10-02 00:00:00,60605.62
182,"Obama, Barack",2011-10-03 00:00:00,363061.02
183,"Obama, Barack",2011-10-04 00:00:00,102181.5
184,"Obama, Barack",2011-10-05 00:00:00,250159.55
185,"Obama, Barack",2011-10-06 00:00:00,210269.5
186,"Obama, Barack",2011-10-07 00:00:00,155132.79
187,"Obama, Barack",2011-10-08 00:00:00,38420.0
188,"Obama, Barack",2011-10-09 00:00:00,59981.0
189,"Obama, Barack",2011-10-10 00:00:00,90621.41
190,"Obama, Barack",2011-10-11 00:00:00,125639.01999999999
191,"Obama, Barack",2011-10-12 00:00:00,105866.57
192,"Obama, Barack",2011-10-13 00:00:00,261596.96
193,"Obama, Barack",2011-10-14 00:00:00,455715.74
194,"Obama, Barack",2011-10-15 00:00:00,70263.0
195,"Obama, Barack",2011-10-16 00:00:00,74571.98999999999
196,"Obama, Barack",2011-10-17 00:00:00,449349.01999999996
197,"Obama, Barack",2011-10-18 00:00:00,343257.52
198,"Obama, Barack",2011-10-19 00:00:00,205845.49
199,"Obama, Barack",2011-10-20 00:00:00,298937.9
200,"Obama, Barack",2011-10-21 00:00:00,343185.61
201,"Obama, Barack",2011-10-22 00:00:00,54353.0
202,"Obama, Barack",2011-10-23 00:00:00,68361.0
203,"Obama, Barack",2011-10-24 00:00:00,215391.12
204,"Obama, Barack",2011-10-25 00:00:00,155106.47
205,"Obama, Barack",2011-10-26 00:00:00,170180.90000000002
206,"Obama, Barack",2011-10-27 00:00:00,278388.63
207,"Obama, Barack",2011-10-28 00:00:00,249152.49
208,"Obama, Barack",2011-10-29 00:00:00,65850.5
209,"Obama, Barack",2011-10-30 00:00:00,45676.75
210,"Obama, Barack",2011-10-31 00:00:00,204746.87
211,"Obama, Barack",2011-11-01 00:00:00,122514.87
212,"Obama, Barack",2011-11-02 00:00:00,146833.81
213,"Obama, Barack",2011-11-03 00:00:00,119254.56
214,"Obama, Barack",2011-11-04 00:00:00,131885.27999999997
215,"Obama, Barack",2011-11-05 00:00:00,32204.25
216,"Obama, Barack",2011-11-06 00:00:00,54774.01
217,"Obama, Barack",2011-11-07 00:00:00,196566.99
218,"Obama, Barack",2011-11-08 00:00:00,214677.45000000004
219,"Obama, Barack",2011-11-09 00:00:00,159724.07
220,"Obama, Barack",2011-11-10 00:00:00,185591.91000000003
221,"Obama, Barack",2011-11-11 00:00:00,33801.1
222,"Obama, Barack",2011-11-12 00:00:00,23931.71
223,"Obama, Barack",2011-11-13 00:00:00,33558.36
224,"Obama, Barack",2011-11-14 00:00:00,152450.05
225,"Obama, Barack",2011-11-15 00:00:00,145389.8
226,"Obama, Barack",2011-11-16 00:00:00,156278.44
227,"Obama, Barack",2011-11-17 00:00:00,144163.22000000003
228,"Obama, Barack",2011-11-18 00:00:00,232977.91999999998
229,"Obama, Barack",2011-11-19 00:00:00,138121.27000000002
